word,pos,meaning_zh,confidence,source,example_szy,example_zh
cow,,,★☆☆,corpus_highfreq,"2000 a mihcaan Bow-mung-te-cow iza ku 608.827 ku muenenngan nu tademaw. cow cen-bu nu Mung-te-pey-li-al, u satabakiay a tukay nu Pow-lin-tun. Bow-mung-te-cow sa u saadidi’ay a cow nu Ameylika. Pakala tu 96.8% pasentu ku salengacay a atademaw, o.5% pasetu ku lumeni’ay a tademaw, 0.4% santu ku In-tian, 0.9% pasentu ku Ya-cow a tademaw. duduc tu 1997 a mihcaan pulung tu piasip pakala tu 9.7% pasentu ku tademaw pakuyuc mapades ku nikauzip.",
croatia,,,★☆☆,corpus_highfreq,"San Marinose (聖馬利諾斯) San Marino [聖馬利諾]) atu nida a tenes nu cabay ci Li-Aw (里奧) miliyas tu aydaay a Croatia (克羅埃西亞) a Lapu subal (拉布島), u mituktukay tu ba’tu a kawaw ku sakatayda i Limini (里米尼).",
cu,,,★☆☆,corpus_highfreq,"""cay kahademhem cu naku pakangelu' takuwan, kiyu cay katineng kaku tu ngelu', cay katineng kaku tu ngelu', nika mapatay nu ngelu' kaku nikaudipan.",
cu'cu',,[例] 深山裡面感到很害怕。,★★★,ilrdf_xml,tayza kaku i cu'cu' niya buyu' izau ku katawidan.,深山裡面感到很害怕。
cucu,,[例] 牛奶真好喝！,★★★,ilrdf_xml,asu' ku cucu nu katalalan a nanumen!,牛奶真好喝！
cucuken,,[例] 去刺死那條可惡的眼鏡蛇！,★★★,ilrdf_xml,cucuken kiya kalingesan a kakuhkuh a mipatay!,去刺死那條可惡的眼鏡蛇！
cuda,,,★☆☆,corpus_highfreq,"1517 amihcaan, ci lute i witepaw a kiwkay nu panan paduhepi tu “pakayni sapicakay tu cumi a paya sakasasakamu” “itawya siwa idaw ku lima a ulic nu cusa”, masassakamu tu nika laecus nu kiwkay a kakawaw, otawya i 1520 qmihcaan atu 1521 makai tu ci ciywacungan liang sakacacay a bataan atu sensenluma a tapang sakalima milunguc papiseputu tu cacanan a cuda apanutek.",
cudad,,[例] 翻開撒奇萊雅族的書。,★★★,ilrdf_xml,belihen ku cudad nu Sakizaya.,翻開撒奇萊雅族的書。
cudadan,,,★☆☆,corpus_highfreq,"1350 a mihcaan Po-cya-ciw atu misulitay tu cudad masasutineng ci Pi-te-la-kean, sakatusa a mihcaan, mapatudud ciniza papitakus tu mapaydangay ci Pi-te-la-ke taluma’ i Bow-low-lun-s mitelung matatengil tu migingkuway. namahini, uyni tatusaay u sitengay a tademaw sibalucu’ay tu nu tademawan. patizeng tu kasasungaay a malacabay. ci Pow-cya-ciw sabalucu’ sa migingkiw tu kasumamadanay a misulit tu cudad, mala u mutesekay ku tineng tu nu sibalucu’ay tu nu tademawan, pabelin tu ciniza tu nisulitan ni H",
cudaden,,[例] 先去寫你的作業！,★★★,ilrdf_xml,cudaden henay ku cacudaden nu misu!,先去寫你的作業！
cuedet,,[例] 這個孩子的腳很冰。,★★★,ilrdf_xml,cuedet ku kuku' nu wawa.,這個孩子的腳很冰。
cuhcuhan,,[例] 我養殖的田螺被別人撿了。,★★★,ilrdf_xml,cuhcuhan tu nu tau ku nipahabayan nu maku.,我養殖的田螺被別人撿了。
cuked,N,橫樑、椽,★★★,vocab_core,"4. kadimelan nu cuked (Order): mahida u Tuosekan a talakaw u pituay a mamulmulan nu patelekay, Duolike’se walu, Ayawniya siwa, Kelinsese’ atu fuhese’ cacay a bataan, itini nipadihpican, idaw ku Tuosekanse’ nu sapiay atu madayumay a hekal, nu sanga han tu masaniyadu’ tu ku sanga. Duolikese’ a sangan caay ka sadid adihan, u sakay sasa’ aca kuyda a sangan.",
culahakay,,[例] 長輩把杜虹當檳榔葉。,★★★,ilrdf_xml,kalabila' han nu babalaki ku culahakay.,長輩把杜虹當檳榔葉。
culal,,[例] Kacaw 突然出現在我後面。,★★★,ilrdf_xml,culal sa ci Kacaw i nu zikuzan nu maku.,Kacaw 突然出現在我後面。
culay,,[例] Dataw 用竹竿當拐杖。,★★★,ilrdf_xml,kalacukulen ni Dataw ku culay tabuyu'.,Dataw 用竹竿當拐杖。
culculen,,[例] 叫那個孩子去讀 書！,★★★,ilrdf_xml,culculen kiya wawa a papicudad!,叫那個孩子去讀 書！
culen,,[例] 我們來 玩陀螺。,★★★,ilrdf_xml,mibalakas kita tu culen.,我們來 玩陀螺。
culiculil,,[例] Pasang 走幾步就四腳朝天。,★★★,ilrdf_xml,culiculil sa ci Pasang sa taliwakang tu.,Pasang 走幾步就四腳朝天。
culil,,行程、結束,★★★,vocab_core,(2) namaka wali atu namaka kawanan tu nikalalikeluhan u miduducay tu culil nu balungaan nina tusaay a muculi sakalalikeluh namaka kawili kawanan idaw ku ancin nu laadan a nikalalikeluhan.,
culilen,,[例] 我們用走的回家。,★★★,ilrdf_xml,culilen nu mita a taluma'.,我們用走的回家。
cumelak,,[例] 那個家很興旺。,★★★,ilrdf_xml,cumelak kuyza a luma'.,那個家很興旺。
cumudan,,,★☆☆,corpus_highfreq,"1972 a mihcaan Ma-na-kwa muliyaw cumudan nu tabakiay a ninel, macaliway ku cacay emang ku mapatayay a tademaw, uyni a ninel atu 1980 a mihcaan labu nu kanganganyaw pihaceng kapeci’ ku kalahad nu tukay, katukuh 1990 a mihcaan tu teban malingatu palekal. imahini Ma-na-kwa mahiza u angangan a kezay nu Ni-cya-la-kwa.",
cumudaw,,[例] 把窗子鎖好免得被闖空門。,★★★,ilrdf_xml,sakapahen ku pitanged tu sasingalan cumudaw nu milibi'ay.,把窗子鎖好免得被闖空門。
cumuli,,[例] 桑樹園內有很多蝸牛。,★★★,ilrdf_xml,yadah ku cumuli i adiadideman.,桑樹園內有很多蝸牛。
cun,,,★☆☆,corpus_highfreq,"2016 amihcaan, cung-huwa-zen-min-kung-he-ku pacakatay atu misumaday a wiy-yun-huy u yin-nan pu-ta-cu a kanatal aaidangan malunu kanatal tu kumikuwanay a mamitanam , u tatanaman sa pasu ciyan-tang a tukay, lu-ci a niyadu’ , k-can a niyadu’ atu pi-ta a bayu’ nu celak sanay a sasikulan nu kitidaan, pasu nu tu-hu mi-li-tang, luy-zung- cun zu-ni-cun, nan-paw-ku a sulsuldaan nu nikitidaan nisubalid , u tatanaman a ahebal sa 602.1 cubu nu kuli.",
cung,,,★☆☆,corpus_highfreq,"1345—1378 amihcaan, nay ci cali saka lulu ku mikuwanay itawya sa, pulake mala u kasenegan nu matiku atu pusi-miya a kanatal nu kitidaan, yu mahida u kasenegan I tawya, misanga tu cung u tu sayaway a tabakiay a cacudadan u cali tasiy han.",
cungtung,,,★☆☆,corpus_highfreq,"(Argentina amana sikaangic i takuwanan) (nu Amuhuwanay a kamu: Don't Cry for Me Argentina"", na u Amuhuwanay a tataynaan a mudadiway ci Mtan-na hananay iti 1996 a mihcaan sabaw tusa a bulad, nipakilulan a muliyaw mubelih a mudadiw, u sakay nu sinisaigaanay a dadiw ya (Argentina amana sikaangic i takuwanan) sakay nu ilabuay a sakasitungus a dadiw, u pitudungan tu ya acawa nu cungtung ci Feilung a tademaw u duma a nipangangan sa ci Uyta (Evita) sakanu katenes a nikaudipan nu kungku.",
cunli,,,★☆☆,corpus_highfreq,micakat a demiad sa i 2013 a mihca 10 bulad 2 demiad.u cunli nu Dominica,
cunus,,,★☆☆,corpus_highfreq,"1240 a mihca 12 a bulad a Pa-tu midebung mahamin tu mapeci’ kuyni a tukay, Ci-pu malawpes t uku naayaway tu pinaay a seci nu nikaala malilid ku cen-ce, Sa-hwang a aenengan zikuz namalimad tayza i Mu-si-ke makutay Low-s a tademaw. cunus zikuz icelangay a kanatal a mulekal, miliyaw ku itiniay mala kuyni tabakiay a kanatal nu lilisay a muliyaw tu kitizaan “Li-taw-wan a tabakiay a kanatal, Pow-lan Li-taw-wan malacabay, E-low-s hungti a Kanata”",
cunusen,,[例] 添加衣服才不會冷！,★★★,ilrdf_xml,cunusen nu mita ku zikuc kiya cayay ka sienaw!,添加衣服才不會冷！
cuo,,,★☆☆,corpus_highfreq,"Muo-si-ke-cen “ Si-pan-ya kamu : Ciudad de México ngalngal nu Si-pan-ya : [sjuˈða(ð) ðe ˈmexiko] （ⓘ）,sukudan misulit u “CDMX”, u Muo-si-ke kapulungan a tukay nu cen-ce, kizay, lalangawan nu hitidaay a kitidaan nu tatelungan, i kitakit nu satabakiay a tukayan. Muo-si-ke-cen i teban nu kakitidaan a talakaway nu teban, atu liwliw nu wuy-sin macimacian saan nuw Muo-si-ke-lin-pan picidekan a kitidaan. sin-cen atu nu duma a kanatal tu tulu a bataan idaw ku cacay nu cuo masulecad nika i sin-ce han u nu",
cupelak,,[例] 未熟的柿子吃起來很澀。,★★★,ilrdf_xml,cupelak ku manta'ay a alupal kanen.,未熟的柿子吃起來很澀。
cuw,,,★☆☆,corpus_highfreq,"i Aw-cow u zuma a kakitizaan, “ mahiniay Pe-lin a lala’ atu Si-aw” u pala u kakuwanan han aadupan “declared plants”.iAw- cuw Kun-s-lan pala u kakuwana n han aadupan.i Nay-ci-li-ya, mahiniay Pe-lin a lala SAI-si-al, muw-li-si-s atu Tung-ya a kakitizaan u midebungay nu aadupan.",
cuwa,,[例] 去哪兒籌錢？,★★★,ilrdf_xml,i cuwa a mikilim tu kalisiw?,去哪兒籌錢？
cuwaan,,[例] 你把Sayun 的帽子放在哪裡？,★★★,ilrdf_xml,i cuwaan nisu mipazeng ku tupel ni Sayun?,你把Sayun 的帽子放在哪裡？
cuwaay,,[例] 這孩子遺傳誰。,★★★,ilrdf_xml,nay cuwaay milulud kina wawa.,這孩子遺傳誰。
cuwacuwa,,,★☆☆,corpus_highfreq,"""ci An-na Ka-liey-ni-na"" (kamu nu E-lo-se: Анна Каренина，nu Lo-ma kasadit: An-na Karenina), u nu E-lo-seay misulitay tukungku a tademaw ci Lye-hu To-el-se-tay naiti 1874 a mihcaan sikatukuh i 1877 a mihcaan nipabaluhayan pisulit a kungku, sipadayda i cuwacuwa tu a palatlatan nu mimelaway, sinitapalan tu nu katuuday masaheciay nu mitesakay nu patademaway a nisulitan sa.",
cuwacuwaay,,,★☆☆,corpus_highfreq,"1746 a mihcaan, li-ma kinacacay aca makalikeluh tu tabakiay a ninel, mamin maluyuh ku cuwacuwaay a nisangaan tu luma’mahida nibatungan tu lacu kapusiy, pasminatu ka-ya-e hananay a minatu, pacici han t uku sakakaay cu he-si.an-tung-niaw.mansu.te.wiy-la-se “ kamunu sipanya; José Antonio Manso de Velasco”sakabilil han patideng tu nikaluyuhan nu ninel a misakapah tu kawaw sa.",
cuwen,,,★☆☆,corpus_highfreq,"Changbin (長濱鄉) mala 6 a cuwen atu 15 ku niyazu’. kina 15 a niyazu’sa, Mornos（永福部落）, Tapowaray / Saranawan（大俱來部落）, Ciwkangan（長光(石坑)部落）, Makrahay（真柄部落）, Cidatayay（烏石鼻部落）, Ta´man（膽曼部落）, Polo't（大峰峰部落）, Pakara'ac（巴卡拉阿茲部落）, Pasongan（八桑安部落）, Kolado't（樟原部落）, Carapongay（堺橋部落）, Sadipongan（三間屋部落）, Nadan（南溪布農部落）, Cikadaan（南溪阿美部落）, Kinanoka（僅那鹿角部落）.",
cuy,,,★☆☆,corpus_highfreq,"sakatulu nu""lung-zay-su-bi"" ni Hung-may, ""u iamisay manamuh tu suni nu ak'ak kaiy sa tu cuy a ngiha, uitimulay sa macukas.",
cuyacuy,,[例] 這個吊橋走起來很可怕。,★★★,ilrdf_xml,katalawan kina cuyacuy a culilen.,這個吊橋走起來很可怕。
cuzuhan,,[例] Pelac 被 Putal 推倒。,★★★,ilrdf_xml,cuzuhan ni Putal ci Pelac mapuling.,Pelac 被 Putal 推倒。
cuzuhen,,[例] 推出來！,★★★,ilrdf_xml,cuzuhen patahekal!,推出來！
cya,,,★☆☆,corpus_highfreq,"balas kazizeng, pangangan han tu suwa taw cya han, Cong-kow-talu ca-se kazizeng han, u kay-tau tuud kazizeng han, angangan u sapiculu’ tu balas atu kanaayan a zaylyaw nu sakakawawan, u sapiculu’ tu sikitang, ba’tu.",
cyaw,,,★☆☆,corpus_highfreq,"A-lin u Yi-se-lan ku kasikanan a lalangawan, atu duma nu A-la-puo kanatal u masacabayay, itidaay a sihu atu A-pu-ta-pi lalangawan makakabung, misaicelang midiput tu laylay a nalimaan atu lalangawan. A-lin u Yi-se-lin cyaw a kanatal, syakay nika udip atu kanatal malalitin, tawya atu kanatal lalangawan masasual, sihun nu cancanan a sapilaylay tu udipan itida i A-lin u sakanamuhan nu binawlan, itida i A-lin taneng makaadih tu sakacacayan nu singanganay nu masasetsetay nu kadideng atu luo-tu i kacac",
cye,,,★☆☆,corpus_highfreq,"""adidi’ay mubahelay a tademaw ci Pi-te Pan"" (A-me-li-ka: Peter pan) u cacay a igaan tu 2003 a mihcaan nu Haw-lay-u u micidekay katalawan a kawaw a iga, ci P. J. How-ken ku pasubana’ay. miigiay a tademaw pasu ci Cye-luy san-te, Cye-sen-ay-say-ke, Loy-ciw Ha-u-te, atu ci Lu-te-wen Say-ni-ye a tademawan. uyni a iga u mikilulay tu J. M. Pa-li a kungkuan “Pi-te Pan” nisumadan misang, musakamuay cayay ka balakiay adii’ay mubahelal Pi-te Pan, atu adidi’ay Syen-ce Tin-tang matenes i nu sinpiay a subalan",
czechia,,,★☆☆,corpus_highfreq,"1918a mihcaan pahezek tu saayaway ngangayaw nu kitakit,，Ao-suong-di-kuo mawatwat(瓦解), nauyaan u Ao-sung a sakaput(一部份) tu Czechia捷克 mala u misatekeday tu a kanatal, u namasungaayay ku kacacayad tu atu Se-lu-ba-ke i 1918 a mihcaan cacay bataan a bulad tusa bataan izaw ku pitu a demiad papulung(合併) han Czechia mala u Czechia-se-lu-ba-ce(捷克斯洛伐克) . masakaputay kapulungan a kanatal(共和國).",
da,,,★☆☆,corpus_highfreq,"1567amihca 10 a bulad 14 a demiad , mala “desembargador da casa docível” ahican naca miliyas i kepula tayda i liseepun.",
da'dac,,[例] 田裡有很多檳榔樹。,★★★,ilrdf_xml,yadah ku angangan nu da'dac i umah.,田裡有很多檳榔樹。
daat,,[例] 被煙嗆到。,★★★,ilrdf_xml,daat nu wacah.,被煙嗆到。
dabek,N,獵區、獵場,★★★,vocab_core,"Guanxi (關西) malumanay a ngangan han u nipacikahan tu kulang tedus han, kadipuna han sumad han tu Guanxi-niyadu’(關西街), malalit nu nipacika han tu kulang a dabek “nipacika han tu kulang”(かんさい) sanu dipunnen amiasip mahida u Kansai malecad a asipen, sisa sumad han nu dipu a tademaw katukuh ayda kuni kasi nganganan.",
dada,,,★☆☆,corpus_highfreq,"2004 a mihcaan 12 a bulad 17 a demiad, ina Bhutan a cenhu pabinawlan maypulu tu kanatalay a tademaw lacus tu a mitabaku sa a pahulic, uyni sa u nu kitakitay malasayaway a sihulic mamipulu tu sakay nu tabakuay a kawaw. mipulu tu binawlan lacus a mitabaku i kapulunga a kakitidaan, lacus tu a iti hekalay a mitabaku. i puenengan sa caay pisulul a pacakay tu dumadumaay a tabaku, anu idaw kupacukasay sa a mabaking tu 225 nu Amuhuwanay a kalisiw, anu kinapinaan a madakep tu nipacakay sa a mapacebis ku ",
dada',,,★☆☆,corpus_highfreq,# sibakici 帶水桶 / sibakici kaku midadum. # sibakiciay 帶水桶的 / ciniza dada' ku sibakiciay.thumb|Balde,
dada'dacen,,[例] 將阿姨要吃的檳榔包上荖葉！,★★★,ilrdf_xml,pabila'en ku dada'dacen ni bayi!,將阿姨要吃的檳榔包上荖葉！
dadadiwan,,,★☆☆,corpus_highfreq,"""i sulesuledaan nikalalikeluhan""sikademecan kaala tu 86 a ngatuan ya Awseka hananay masakimay nu sakapahay kasaungayan satanatuay a kacudu atu sa sakapahay nu udipay tu a dadiw (tatungusan a datuk “Let it Go”) iti 71 a kaydung nu kitakitay a lali kasakiman nu kawlah u sakapahay a musaungayay a kacudu, iti 67 a kaydung nu Inggu a kanatal i talakaway a cacudadan a kacudu, iti 41 a kaydung ya Anni hananay a nipakawlahan (pasu ya saungayan a kacudu sa), iti 57 a kaydung ya Kelaymye hananay a nipakaw",
dadadiwen,,[例] 我不知道要唱什麼。,★★★,ilrdf_xml,u canan ku dadadiwen nu maku.,我不知道要唱什麼。
dadan,,,★☆☆,corpus_highfreq,"1820 a mihcaan , sayaway a u cacayay a dadan nu silamalay a tipid numahida naw ci yi-huwan. Ayl-ma-nu-hu i e-luse a misanga .",
dadanan,,,★☆☆,corpus_highfreq,"2015 a mihca sepaday a bulad sabaw walu a demiad, cin-ci-pu kul-ci-maw-yi papipadan tu Cung-huw-min-kul(中華民國) tu hekalay a maw-yi-fa-can-siy-huy(貿易發展協會) “way-maw-siy-huy(外貿協會)” mikawaway tu “2015 a mihca u sin-Pei-O u micuduhat a milacuk tu kawaw sa “atu tulu a bataan idaw ku enem nu pikawawan tayda i Er-lul-si-sen-pi-te-paw(俄羅斯聖彼得堡), Hung-lan(芬蘭), Ay-sa-ni-ya(愛沙尼亞), Ri-tiyan(瑞典) atu Po-lan(波蘭) kina kanatalan milihida tu sapatiyan, kina mapulungay kanca u Taywanay tu ku nanu tayda i Pai-o(北歐) a ",
dadayday,,[例] 蟬的叫聲讓我感到很吵。,★★★,ilrdf_xml,masangil kaku tu suni nu dadayday.,蟬的叫聲讓我感到很吵。
dadeka,,[例] 買的芝麻有 白色和黑色。,★★★,ilrdf_xml,nicakayan a dadeka izau ku salengacay atu lumeni'ay.,買的芝麻有 白色和黑色。
dadingu,,[例] 將家裡的窗戶裝上玻璃。,★★★,ilrdf_xml,pasasingalen tu dadingu ku luma'.,將家裡的窗戶裝上玻璃。
dadipana',,[例] 毛毛蟲碰不得。,★★★,ilrdf_xml,la'cus tebingen ku dadipana'.,毛毛蟲碰不得。
dadipasan,,,★☆☆,corpus_highfreq,"# satipan u diheb laed nu tusaay a buyu', pasu 2841 m u satalakaway a buyu' nu binacadan i tebal nu satip atu timul siye-he-san (謝赫山) # teban nu satip atu amis mililis tu ti-cung-hay (地中海) a enal 1831 km ku lalaya nu dadipasan u cayay ka adihay nu silutukay a sela. # sawalian u makalalumaay talakaway a lala'. # teban nu wali atu timu u bunabunakan nu si-li-ya (敘利亞)",
dadipis,,[例] 河裡的蟑螂可以吃。,★★★,ilrdf_xml,makanen ku dadipis nu sauwac.,河裡的蟑螂可以吃。
dadipudiputen,,[例] 照顧老人是應盡的義務。,★★★,ilrdf_xml,u dadipudiputen aca ku babalaki.,照顧老人是應盡的義務。
dadiw,,[例] 歌聲聽起來很甜美。,★★★,ilrdf_xml,asu' tungilen ku dadiw.,歌聲聽起來很甜美。
dadiwen,,[例] 我們來歌頌天上的父神！,★★★,ilrdf_xml,dadiwen nu mita ku i pabaway a Di'tu!,我們來歌頌天上的父神！
dadum,,[例] 井裡挑水。,★★★,ilrdf_xml,dadum i tebun.,井裡挑水。
daduman,,[例] Kacaw 已經挑過Putah 的水井的水了。,★★★,ilrdf_xml,daduman tu ni Kacaw ku tebung ni Putah.,Kacaw 已經挑過Putah 的水井的水了。
dadumen,,[例] 去 Kuli 的水井挑水！,★★★,ilrdf_xml,dadumen ku tebung ni Kuli!,去 Kuli 的水井挑水！
daedac,,[例] 在檳榔樹下撿起掉下來的檳榔。,★★★,ilrdf_xml,i sasa nu daedac mitibaw tu buhid.,在檳榔樹下撿起掉下來的檳榔。
daesu,,[例] 這是上天的恩賜。,★★★,ilrdf_xml,daesu nu i pabaway kuyni.,這是上天的恩賜。
dama,,[例] 扶瘸腿的。,★★★,ilrdf_xml,dama tu mapelikihay.,扶瘸腿的。
damaan,,[例] 之所以沒有掉下來是因為 Kulas 扶著。,★★★,ilrdf_xml,damaan ni Kulas sisa caay ka hetik.,之所以沒有掉下來是因為 Kulas 扶著。
damaen,,[例] 去把梯子扶著免得爬的人會掉下來！,★★★,ilrdf_xml,damaen ku tukal mahetika kiya mikalicay!,去把梯子扶著免得爬的人會掉下來！
damay,,[例] 紅葉溪有很多髮菜。,★★★,ilrdf_xml,yadah ku damay nina Alangahay.,紅葉溪有很多髮菜。
damek,,[例] 草是田的肥料。,★★★,ilrdf_xml,damek nu umah ku lutuk.,草是田的肥料。
damsay,,[例] Libuk 對人說話很親切溫柔。,★★★,ilrdf_xml,damsay ku kamu ni Libuk tu tademaw.,Libuk 對人說話很親切溫柔。
damud,,[例] 在院子裡有很多垃圾。,★★★,ilrdf_xml,yadah kiya damud i putah.,在院子裡有很多垃圾。
dan,,,★☆☆,corpus_highfreq,"Danmark (Danmark) cacay ku tatangahan a sulid, sangalepan u Danmark, tademaw nu Danmark atu pakumud tu Danmark a pasacacay tu masahungtiay a nika tademec tu sakay itini nu apet, a nika tademec masaupu i Danmark a kamu nu sulit nu taayawan Dan, kanca mitudu pangangan u Dan han nu Zi-Er-Man (日耳曼, German) a niyadu' ya sapangangan u Dan han a hungti (皇帝), atu nu dikudan a sulit u mark han tatenga siimiay kuyni. siidaway nu cudad tu aadihan atu nu i tebatebanay a si-ji (cung-se-ci, 中世紀) nu misulitay ",
dang,,,★☆☆,corpus_highfreq,"JoJo a mahicaay nu mitahaway sakamusa tu Ing-kuo siidaay a luma’ ci Ciaw-se-ta luma’an atu la’cusan a micuhcuhay tui dang ci Di-aw. Pu-lan-tu’ aci nikudanay a ilucan ci Ciaw-na-sen. Ciaw-se-ta ina tatusaay tu hatiniay nu lasubuan a tenes a nikalalebuan. ayda han tu mahedek tu ku waluay a mahedekay nu cudadan, u cuciaw cudad atu kakungkuan nu sakaytini i budayan caay namin kalecad. u cuciaw ci “ Ciaw Ciaw” ku sapangangan, sakalima a cuciaw amica ku malaDipunay, nika itini i I’-ta-li a maudip, nik",
dangah,,[例] Kacaw 在夾鍋子裡的肉。,★★★,ilrdf_xml,miatip ci Buting tu titi i dangah.,Kacaw 在夾鍋子裡的肉。
danmark,,,★☆☆,corpus_highfreq,"1530 nu mihecaan sa, s-sen-ti-na-wiy-ya a kakididaan mabawbaw tu pu-ci a makakuwang, nu nadikudan u kiwkay tu ku misangaay misumad tina itiniay a kakididaan, nasaansa Danmark a kitaki paliyun han tu u lu-te- cun.",
dao,,,★☆☆,corpus_highfreq,"1703 a mihcaan Bing-dao mikawaw tu saayaway a pikisa tu hu-ku-mibu, itawyaay 50358 ku tademaw, katukuh 1801 a mihcaan maselep tu 47240. kasumamadan tu 19 a mihcaan izaw tu ku nikacunus nu tademaw, 1901 a mihcaan macunus tu 78470. kasumamadan tu 20 a mihcaan tu nikalingatu cin-ci kalamkam a macakat u tademaw malecad bahal sa macunus ku tademaw, 1940 a mihcaan katuku tu 121474. i sakatusa nu kitakit ngangayawana atu malingatu zikuzan nu ngangayaw, kalamkam a macakat kapah ku nikauzip nu tademaw, u",
dapu,,[例] 我依靠你。,★★★,ilrdf_xml,dapu kaku tisuwan.,我依靠你。
dapunuh,,[例] 喪偶者容易遭人忌妒/吃醋。,★★★,ilrdf_xml,dapunuh ku tademaw painapan nu tau.,喪偶者容易遭人忌妒/吃醋。
datay,,[例] 月橘製作酒趜的材料之ㄧ。,★★★,ilrdf_xml,datay sapalamel tu elaw misanga'.,月橘製作酒趜的材料之ㄧ。
dateng,,,★☆☆,corpus_highfreq,"140 amihcan hanca matenes tuwaca, nika makadateng tina kawawan haw, cuenut tu ku balucu' ahican a caay pakadateng, ahican amupawan ku tuka nu balucu’ kya acaay tu kalalum ku balucu'. hanca mahida tu amin kuni dateng nu pinacadan. nika paymihmihcan katukuhan tu ku puu' nu mihcan sa makadateng tu tina kawawan, ahayni kabelec kya tawya amapawan.",
datuk,,,★☆☆,corpus_highfreq,""" nu tuse nu aadupan"" iti 2016 a mihcaan 2 a bulad 13 a demiad i Pilise a kanatal ya Pulusay-el i pilisinan tu kacudu a demiad palekal tu nikasayawan a pazizaw, kalecadan nu mihcaan i 3 a bulad 4 a demiadan iti kaamisan nu Amilika a buluku u 2D, 3D, RealD, IMAX 3D a kasaditan papizizaw tu mimelaway. nipazizawan nu kacudu sa, i nu dikudan kapah amin a piliclic nu mikinaulay, katuud ku miliclicay nu mitesekay a tademaw patatudu tu lima sikasenengan ku datuk nu masakaputay, u ulic nu kungku, atu pi",
daudaungan,,[例] 樹豆的樹上有很多蚱蜢。,★★★,ilrdf_xml,yadah i daudaungan ku kidawdawngay.,樹豆的樹上有很多蚱蜢。
daul,,[例] 宜梧非常耐乾旱，繁殖力強果實可食用。,★★★,ilrdf_xml,"caay ka talaw tu kelal ku daul, makanen ku heci.",宜梧非常耐乾旱，繁殖力強果實可食用。
daw,,,★☆☆,corpus_highfreq,"Ciday Dawka-secuzen ku miliyas tunikalalebu a kawawan, pinaay nu binacadan a tademaw mabulaw taydan i Puli. Cincaw ciacen daw kun nina tusaay a zitayan (caysiw a seci), pasu Dawka-secu tebanay a Pinpu-cu nu bangsiaan atu binacadan a nikanengil a zitayan, tada mautang tu kunika datengan, amica kunikabulaw, nika caay tu kacelak ku binacadan, hidahida satu malawpes kina Dawka-secu labuay nu Tangabulan a lalangawan.清代道卡斯族人為避分類械鬥等因素，部份族人遷徙至埔里。清朝嘉慶道光兩朝時期（19世紀），是包含道卡斯族的中部平埔族群各社及族群的覺醒時期，但為時已晚大勢已去，雖然走上遷徙",
dawa,,[例] 這是黑色的布料。,★★★,ilrdf_xml,u lumeni'ay a dawa kuyni.,這是黑色的布料。
dawdaw,,[例] 竹子燻烤可以慢慢折彎。,★★★,ilrdf_xml,dawdaw han ku auk kapah haymaw han mipiked.,竹子燻烤可以慢慢折彎。
dawdawen,,[例] 竹子先烤後再來折彎度！,★★★,ilrdf_xml,dawdawen henay ku auk a mipiked!,竹子先烤後再來折彎度！
dawmi',,[例] 茄子烤過之後會變軟。,★★★,ilrdf_xml,dawmi' ku kiyu tuduhen.,茄子烤過之後會變軟。
dawmi'ay,,[例] 被燻烤過的竹子柔軟易折。,★★★,ilrdf_xml,mazangzangay a auk ku dawmi'ay pikeden.,被燻烤過的竹子柔軟易折。
dayas,,[例] 長輩用冇骨消治療脫臼的人。,★★★,ilrdf_xml,u sapisunil nu babalaki tu mapintu'ay sa u dayas.,長輩用冇骨消治療脫臼的人。
dayday,,,★☆☆,corpus_highfreq,"Amilika a mitanengay tu tademaw a syece ci Dezso Benedek sipakayda i tusaay a nitademan tu “ anga a tangulan”, ina tusaay malecad ku lalengawan tu tapang nu heni, nikudan u Butud atu Pa-tan-daw palatusaen a kanatal sa pacici han malakakenisan. sayaway nu puose a sitangahay, sakamusa kuya sitangahay u Kuo-li-Taywan sihangaku tilisuo puose ci Tun-n-ce sakamusa tu 16 seci sa, ina Pa-tan-daw nikaydaan i Si-pan-ya, Amilika, Fuy-li-pin celi, malaAmilika ku yadah, Butud i hekal aca, sa yadah ku nisinga",
dayud,,[例] 鵲豆和白扁豆是一樣的。,★★★,ilrdf_xml,malecad u puk ku dayud.,鵲豆和白扁豆是一樣的。
dayumen,,[例] 去臺北不是件容易的事。,★★★,ilrdf_xml,dayumen haw ku sakatayza i Taypak.,去臺北不是件容易的事。
de,,,★☆☆,corpus_highfreq,&lt;br&gt;&lt;gallery caption=&quot;Guatemala&quot;&gt; Guatemala City-16-Markt-Paar mit Mandarinen-1980-gje.jpg|Guatemala City Zacapa-08-Markt-1980-gje.jpg|Zacapa Zacapa-32-Markt-Alte mit Gemuese-1980-gje.jpg|Zacapa Melchor de Mencos to Tikal-16-kleine Jungs-1980-gje.jpg|Melchor de Mencos Tikal-02-Blick von Jaguar-Pyramide auf Hauptgruppe-1980-gje.jpg|Tikal Flores-12-Flugplatz-Einstieg ins Flugzeug-1980-gje.jpg|Flores Solola-28-Frau-1980-gje.jpg|Solola Solola-Friedhof-04-1980-gje.jpg &lt;/galle,
debay,,[例] 牛背上跌落手脫臼。,★★★,ilrdf_xml,debay i kulul nu katalalan mapintu ku lima.,牛背上跌落手脫臼。
